Permission Name,Description,Privileged
PermissionsEmbeddedMessagingAgent,Messaging for In-App and Web Agent,FALSE
PermissionsEmployeeEntitiesAccess,Manage Employees,FALSE
PermissionsEmployeeExperience,Access Employee Experience,FALSE
PermissionsEnableBCTransactionPolling,Enable blockchain transaction polling API,FALSE
PermissionsEnableCommunityAppLauncher,Show App Launcher in Experience Cloud Sites,FALSE
PermissionsEnableIPFSUpload,Allow blockchain data upload,FALSE
PermissionsEnableNotifications,Send Outbound Messages,FALSE
PermissionsEngagementConfigUser,Engagement Config User,FALSE
PermissionsEnhancedSalesMobileExp,Salesforce Mobile App: Native Seller Experience,FALSE
PermissionsEntityAccessHealthCloudCommunity,Additional Objects for Health Cloud Features in Experience Cloud,FALSE
PermissionsEventLogReadAccess,View Event Log Object Data,TRUE
PermissionsExecutePromptTemplates,Execute Prompt Templates,FALSE
PermissionsExplainabilityCmtyAccess,Provides site users with access to Decision Explainers features and APIs.,FALSE
PermissionsExplainabilityUserAccess,Provides internal Org users with access to Decision Explainer features and APIs.,FALSE
PermissionsExportReport,Export Reports,FALSE
PermissionsExternalClientAppAdmin,"View all External Client Apps, view their settings, and edit their policies",TRUE
PermissionsExternalClientAppDeveloper,"Create, edit, and delete External Client Apps",TRUE
PermissionsExternalClientAppViewer,View all External Client Apps,FALSE
PermissionsFeedPinning,Pin Posts in Feeds,FALSE
PermissionsFHIRCmtyAccess,Use objects in the Clinical data model via Experience Cloud sites,FALSE
PermissionsFieldMappingUser,Field Mapping Configuration User,FALSE
PermissionsFieldServiceAccess,Field Service Standard,FALSE
PermissionsFieldServiceCopilotActions,Access Agent Topics and Actions for Field Service,FALSE
PermissionsFieldServiceDispatcher,Field Service Dispatcher,FALSE
PermissionsFieldServiceLastMile,Field Service Appointment Assistant,FALSE
PermissionsFieldServiceMobileApp,Field Service Mobile,FALSE
PermissionsFieldServiceScheduling,Field Service Scheduling,FALSE
PermissionsFieldServiceVoiceToForm,Access Field Service Data Capture Voice to Form (Beta),FALSE
PermissionsFieldServiceVoiceToRecordEdit,Access Field Service Voice to Record Edit,FALSE
PermissionsFinancialServices2UserAccess,Access Actionable Relationship Center,FALSE
PermissionsFindPastCollaborators,Allow access to Find Past Collaborators in Einstein Copilot.,FALSE
PermissionsFlowUFLRequired,Require Flow User Feature License,FALSE
PermissionsForceTwoFactor,Multi-Factor Authentication for User Interface Logins,TRUE
PermissionsFreezeUsers,Freeze Users,TRUE
PermissionsFSCAlertFrameworkUserAccess,Access Record Alerts,FALSE
PermissionsFSCArcGraphCommunityUser,Access Actionable Relationship Center for partner users,FALSE
PermissionsFSCB2BUserAccess,Grants access to B2B features,FALSE
PermissionsFSCComprehensiveUserAccess,User license to access Lightning components and features delivered in Financial Services Cloud.,FALSE
PermissionsFSCInsClaimMgmtPlatformUser,Insurance Claim Management Platform User,FALSE
PermissionsFSCInsPolicyAdminPlatformUser,Insurance Policy Administration Platform User,FALSE
PermissionsFSCInsuranceCmpCmtyAccess,Access Insurance Lightning Components,FALSE
PermissionsFSCInsuranceCmpLexOnlyAccess,Access Insurance Lightning Components,FALSE
PermissionsFSCInsurancePlatformUser,Access Insurance Objects,FALSE
PermissionsFscPlansAndGoalsUser,Plans and Goals User,FALSE
PermissionsGetConversationTranscripts,Get Conversation Transcripts,FALSE
PermissionsGetProductPricing,Allow access to Get Product Pricing in Einstein Copilot,FALSE
PermissionsGetRecordDetailsUserAccess,Get Record Details,FALSE
PermissionsGetSmartDataDiscovery,View Einstein Discovery Recommendations,FALSE
PermissionsGetSmartDataDiscoveryExternal,View Einstein Discovery Recommendations Via Connect API,FALSE
PermissionsGiveRecognitionBadge,Give Recognition Badges in Experience Builder Sites,FALSE
PermissionsGlobalCbPQueryAccess,Global Controlled-by-Parent Query Access,FALSE
PermissionsGovernNetworks,Manage Experiences,FALSE
PermissionsGroupMembershipCmtyUsr,Group Membership Experience Cloud User,FALSE
PermissionsGroupMembershipPsl,Group Membership,FALSE
PermissionsHasUnlimitedErbScoringRequests,User Has Unlimited Erb Model Scoring,FALSE
PermissionsHasUnlimitedNBAExecutions,User Has Unlimited Next Best Action Strategy Executions,FALSE
PermissionsHcAdvancedTherapyUser,Manage Advanced Therapy Orchestration features,FALSE
PermissionsHeadlessCMSAccess,Enable Salesforce CMS Integration,FALSE
PermissionsHeadlessPublishNudges,Headless Publish Nudges User,FALSE
PermissionsHealthAgent,Health Assistive Agent,FALSE
PermissionsHealthCloudStarter,Health Cloud Starter,FALSE
PermissionsHideReadByList,Hide the Seen By List,FALSE
PermissionsHydratePromptTemplateIA,Hydrate Prompt Template IA,FALSE
PermissionsIcmCmtyAccess,Enables the use of objects in the Integrated Care Management data model by Experience cloud site users.,FALSE
PermissionsIdentityConnect,Use Identity Connect,TRUE
PermissionsIdentityEnabled,Use Identity Features,FALSE
PermissionsIdentityVerificationUserAccess,Permission to access Identity Verification,FALSE
PermissionsImportCustomObjects,Import Custom Objects,FALSE
PermissionsImportLeads,Import Leads,FALSE
PermissionsImportPersonal,Import Personal Contacts,FALSE
PermissionsInboundMigrationToolsUser,Deploy Change Sets,FALSE
PermissionsIndustriesEpcNextPilot,Industries Epc Next Pilot,FALSE
PermissionsIndustryMilestonePlatformUser,Access Life Events or Business Milestones Component,FALSE
PermissionsInsightsAppAdmin,Manage CRM Analytics,FALSE
PermissionsInsightsAppDashboardEditor,Create and Edit CRM Analytics Dashboards,FALSE
PermissionsInsightsAppEltEditor,Edit CRM Analytics Dataflows,FALSE
PermissionsInsightsAppUploadUser,Upload External Data to CRM Analytics,FALSE
PermissionsInsightsAppUser,Use CRM Analytics,FALSE
PermissionsInsightsCreateApplication,Create CRM Analytics Apps,FALSE
PermissionsInsightsIntelAppUser,Use Intelligent Apps,FALSE
PermissionsInstallMultiforce,Download AppExchange Packages,TRUE
PermissionsInstallPackaging,Download AppExchange Packages,TRUE
PermissionsInsuranceGroupBenefitsUser,Insurance Group Benefits User,FALSE
PermissionsInteractionCalcAdminPerm,Grant administrators access to Industries Interaction Calculation features.,FALSE
PermissionsInteractionCalcUserPerm,Grant users access to Industries Interaction Calculation features.,FALSE
PermissionsInteractionObjStateDefUserPerm,Grant users access to Industries Interaction Object State Definition features.,FALSE
PermissionsInterestTaggingUserAccess,Access Interest Tags for Financial Services Cloud.,FALSE
PermissionsInvoiceOrErrorRecoveryAPI,Invoice or Recovery API,FALSE
PermissionsInvoiceSchedulerUser,Invoice Scheduler User,FALSE
PermissionsIsotopeAccess,Salesforce Anywhere on Mobile,FALSE
PermissionsIsotopeCToCUser,Salesforce Anywhere Integration Access,FALSE
PermissionsIsotopeLEX,Salesforce Anywhere in Lightning Experience,FALSE
PermissionsIsSsoEnabled,Is Single Sign-On Enabled,FALSE
PermissionsKycPlatformUser,Identity Verification and Screening User,FALSE
PermissionsLeadInspectorUser,Access Lead Intelligence View in Partner Sites,FALSE
PermissionsLeadScoreResultPublisher,Publish Einstein Lead Scoring results,FALSE
PermissionsLeadScoreUser,Use Einstein Lead Scoring,FALSE
PermissionsLearningManager,Manage Learning,FALSE
PermissionsLifecycleManagementAPIUser,Access Customer Asset Lifecycle Management APIs,FALSE
PermissionsLightningConsoleAllowedForUser,Lightning Console User,FALSE
PermissionsLightningExperienceUser,Lightning Experience User,FALSE
PermissionsLightningOnFSMobile,Lightning SDK for Field Service Mobile,FALSE
PermissionsLightningSchedulerUserAccess,Let a user be included in appointments in Salesforce Scheduler.,FALSE
PermissionsListEmailSend,Allow sending of List Emails,FALSE
PermissionsLiveMessageAgent,Messaging Agent,FALSE
